date,ward_id,chlorine_level,bacteria_count
2023-03-14,1,0.48,16
2023-03-15,1,0.87,15
2023-03-16,1,0.58,12
2023-03-17,1,0.28,20
2023-03-18,1,0.7,25
2023-03-19,1,0.75,17
2023-03-20,1,0.4,13
2023-03-21,1,0.46,15
2023-03-22,1,0.5,9
2023-03-23,1,0.47,18
2023-03-24,1,0.59,13
2023-03-25,1,0.07,14
2023-03-26,1,0.81,18
2023-03-27,1,0.56,18
2023-03-28,1,0.1,23
2023-03-29,1,0.63,23
2023-03-30,1,0.61,19
2023-03-31,1,0.79,14
2023-04-01,1,0.32,19
2023-04-02,1,0.26,17
2023-04-03,1,0.27,19
2023-04-04,1,0.48,18
2023-04-05,1,0.49,16
2023-04-06,1,0.39,21
2023-04-07,1,0.86,9
2023-04-08,1,0.18,11
2023-04-09,1,0.48,19
2023-04-10,1,0.55,23
2023-04-11,1,0.59,8
2023-04-12,1,0.73,18
2023-04-13,1,0.37,20
2023-04-14,1,0.71,12
2023-04-15,1,0.41,25
2023-04-16,1,0.56,16
2023-04-17,1,0.11,20
2023-04-18,1,0.38,14
2023-04-19,1,0.4,13
2023-04-20,1,0.35,14
2023-04-21,1,0.44,17
2023-04-22,1,0.52,19
2023-04-23,1,0.54,19
2023-04-24,1,0.32,15
2023-04-25,1,0.37,14
2023-04-26,1,0.32,12
2023-04-27,1,0.45,13
2023-04-28,1,0.52,16
2023-04-29,1,0.05,17
2023-04-30,1,0.6,9
2023-05-01,1,0.27,15
2023-05-02,1,0.17,29
2023-05-03,1,0.67,14
2023-05-04,1,0.19,15
2023-05-05,1,0.72,17
2023-05-06,1,0.31,8
2023-05-07,1,0.5,14
2023-05-08,1,0.65,16
2023-05-09,1,0.55,10
2023-05-10,1,0.41,11
2023-05-11,1,0.18,18
2023-05-12,1,0.77,16
2023-05-13,1,0.76,16
2023-05-14,1,0.47,14
2023-05-15,1,0.11,14
2023-05-16,1,0.43,21
2023-05-17,1,0.91,10
2023-05-18,1,0.74,13
2023-05-19,1,0.1,12
2023-05-20,1,0.4,12
2023-05-21,1,0.62,15
2023-05-22,1,0.3,14
2023-05-23,1,0.71,18
2023-05-24,1,0.24,17
2023-05-25,1,0.82,15
2023-05-26,1,0.68,20
2023-05-27,1,0.87,16
2023-05-28,1,0.74,20
2023-05-29,1,0.06,12
2023-05-30,1,0.29,15
2023-05-31,1,0.13,17
2023-06-01,1,0.19,14
2023-06-02,1,0.53,17
2023-06-03,1,0.63,20
2023-06-04,1,0.84,41
2023-06-05,1,0.11,37
2023-06-06,1,0.02,36
2023-06-07,1,0.67,8
2023-06-08,1,0.24,40
2023-06-09,1,0.42,16
2023-06-10,1,0.14,18
2023-06-11,1,0.35,17
2023-06-12,1,0.54,41
2023-06-13,1,0.88,33
2023-06-14,1,0.63,38
2023-06-15,1,0.47,14
2023-06-16,1,0.6,38
2023-06-17,1,0.34,34
2023-06-18,1,0.27,18
2023-06-19,1,0.72,42
2023-06-20,1,0.85,14
2023-06-21,1,0.71,15
2023-06-22,1,0.52,18
2023-06-23,1,0.21,16
2023-06-24,1,0.37,16
2023-06-25,1,0.51,23
2023-06-26,1,0.63,46
2023-06-27,1,0.41,15
2023-06-28,1,0.44,40
2023-06-29,1,0.58,39
2023-06-30,1,0.2,31
2023-07-01,1,0.49,36
2023-07-02,1,0.45,13
2023-07-03,1,0.44,34
2023-07-04,1,0.61,12
2023-07-05,1,0.81,11
2023-07-06,1,0.38,29
2023-07-07,1,0.52,18
2023-07-08,1,0.47,15
2023-07-09,1,0.24,38
2023-07-10,1,0.26,20
2023-07-11,1,0.83,20
2023-07-12,1,0.57,34
2023-07-13,1,0.45,39
2023-07-14,1,0.54,36
2023-07-15,1,0.51,17
2023-07-16,1,0.23,36
2023-07-17,1,0.47,42
2023-07-18,1,0.24,45
2023-07-19,1,0.28,13
2023-07-20,1,0.52,20
2023-07-21,1,0.42,18
2023-07-22,1,0.55,13
2023-07-23,1,0.47,10
2023-07-24,1,0.19,41
2023-07-25,1,0.49,42
2023-07-26,1,0.75,16
2023-07-27,1,0.53,16
2023-07-28,1,0.33,9
2023-07-29,1,0.84,22
2023-07-30,1,0.48,15
2023-07-31,1,0.09,41
2023-08-01,1,0.75,34
2023-08-02,1,0.7,14
2023-08-03,1,0.84,14
2023-08-04,1,0.36,30
2023-08-05,1,0.31,40
2023-08-06,1,0.57,36
2023-08-07,1,0.36,12
2023-08-08,1,0.31,41
2023-08-09,1,0.14,31
2023-08-10,1,0.23,29
2023-08-11,1,0.56,15
2023-08-12,1,0.07,34
2023-08-13,1,0.49,13
2023-08-14,1,0.49,37
2023-08-15,1,0.13,32
2023-08-16,1,0.9,36
2023-08-17,1,0.62,14
2023-08-18,1,0.16,17
2023-08-19,1,0.22,36
2023-08-20,1,0.59,19
2023-08-21,1,0.54,17
2023-08-22,1,0.58,20
2023-08-23,1,0.65,17
2023-08-24,1,0.68,9
2023-08-25,1,0.55,22
2023-08-26,1,0.29,16
2023-08-27,1,1.02,13
2023-08-28,1,0.73,22
2023-08-29,1,0.22,40
2023-08-30,1,0.35,41
2023-08-31,1,0.57,16
2023-09-01,1,0.71,31
2023-09-02,1,0.25,24
2023-09-03,1,0.37,45
2023-09-04,1,0.62,20
2023-09-05,1,0.23,32
2023-09-06,1,0.37,34
2023-09-07,1,0.59,29
2023-09-08,1,0.41,17
2023-09-09,1,0.06,37
2023-09-10,1,0.48,45
2023-09-11,1,0.45,28
2023-09-12,1,0.39,18
2023-09-13,1,0.53,32
2023-09-14,1,0.55,32
2023-09-15,1,0.31,14
2023-09-16,1,0.33,14
2023-09-17,1,0.75,35
2023-09-18,1,0.34,16
2023-09-19,1,0.26,19
2023-09-20,1,0.59,24
2023-09-21,1,0.0,32
2023-09-22,1,0.46,17
2023-09-23,1,0.14,37
2023-09-24,1,0.35,47
2023-09-25,1,0.53,23
2023-09-26,1,0.34,17
2023-09-27,1,0.16,10
2023-09-28,1,0.4,18
2023-09-29,1,0.54,12
2023-09-30,1,0.58,29
2023-10-01,1,0.44,13
2023-10-02,1,0.24,23
2023-10-03,1,0.3,14
2023-10-04,1,0.79,14
2023-10-05,1,0.56,10
2023-10-06,1,0.63,12
2023-10-07,1,0.76,17
2023-10-08,1,0.41,18
2023-10-09,1,0.34,25
2023-10-10,1,0.42,25
2023-10-11,1,0.69,11
2023-10-12,1,0.23,12
2023-10-13,1,0.74,17
2023-10-14,1,0.08,16
2023-10-15,1,0.39,18
2023-10-16,1,0.65,19
2023-10-17,1,0.5,14
2023-10-18,1,0.43,14
2023-10-19,1,0.44,20
2023-10-20,1,0.54,15
2023-10-21,1,0.2,18
2023-10-22,1,0.13,16
2023-10-23,1,0.53,9
2023-10-24,1,0.68,11
2023-10-25,1,0.63,18
2023-10-26,1,0.33,11
2023-10-27,1,0.69,15
2023-10-28,1,0.32,18
2023-10-29,1,0.42,16
2023-10-30,1,0.54,13
2023-10-31,1,0.19,11
2023-11-01,1,0.62,11
2023-11-02,1,0.29,11
2023-11-03,1,0.09,11
2023-11-04,1,0.44,17
2023-11-05,1,0.56,11
2023-11-06,1,0.33,12
2023-11-07,1,0.63,23
2023-11-08,1,0.39,11
2023-11-09,1,0.61,16
2023-11-10,1,0.43,19
2023-11-11,1,0.39,14
2023-11-12,1,0.34,14
2023-11-13,1,0.49,13
2023-11-14,1,0.67,18
2023-11-15,1,0.65,11
2023-11-16,1,0.61,16
2023-11-17,1,0.69,15
2023-11-18,1,0.44,16
2023-11-19,1,0.64,15
2023-11-20,1,0.31,12
2023-11-21,1,0.38,13
2023-11-22,1,0.69,12
2023-11-23,1,0.51,20
2023-11-24,1,1.0,17
2023-11-25,1,0.56,15
2023-11-26,1,0.35,19
2023-11-27,1,0.21,19
2023-11-28,1,0.65,14
2023-11-29,1,0.41,16
2023-11-30,1,0.68,15
2023-12-01,1,0.48,20
2023-12-02,1,1.1,13
2023-12-03,1,0.13,22
2023-12-04,1,0.48,13
2023-12-05,1,0.57,17
2023-12-06,1,0.51,21
2023-12-07,1,0.66,15
2023-12-08,1,0.47,18
2023-12-09,1,0.88,10
2023-12-10,1,0.54,19
2023-12-11,1,0.67,15
2023-12-12,1,0.64,11
2023-12-13,1,0.21,13
2023-12-14,1,0.76,11
2023-12-15,1,0.18,11
2023-12-16,1,0.43,15
2023-12-17,1,0.57,20
2023-12-18,1,0.66,13
2023-12-19,1,0.57,15
2023-12-20,1,0.66,14
2023-12-21,1,0.43,19
2023-12-22,1,0.78,10
2023-12-23,1,0.42,13
2023-12-24,1,0.48,17
2023-12-25,1,0.05,14
2023-12-26,1,0.22,19
2023-12-27,1,0.64,15
2023-12-28,1,0.36,13
2023-12-29,1,0.03,14
2023-12-30,1,0.18,22
2023-12-31,1,0.06,24
2023-01-01,2,0.45,12
2023-01-02,2,0.47,6
2023-01-03,2,0.21,11
2023-01-04,2,0.29,12
2023-01-05,2,0.83,12
2023-01-06,2,0.51,14
2023-01-07,2,0.45,14
2023-01-08,2,0.61,14
2023-01-09,2,0.4,16
2023-01-10,2,0.27,15
2023-01-11,2,0.72,9
2023-01-12,2,0.7,11
2023-01-13,2,0.4,8
2023-01-14,2,0.5,12
2023-01-15,2,0.58,9
2023-01-16,2,0.6,14
2023-01-17,2,0.47,9
2023-01-18,2,0.87,14
2023-01-19,2,0.62,11
2023-01-20,2,0.7,15
2023-01-21,2,0.52,13
2023-01-22,2,0.59,14
2023-01-23,2,0.42,14
2023-01-24,2,0.87,16
2023-01-25,2,0.54,9
2023-01-26,2,0.53,15
2023-01-27,2,0.49,17
2023-01-28,2,0.35,9
2023-01-29,2,0.19,15
2023-01-30,2,0.71,10
2023-01-31,2,0.75,11
2023-02-01,2,0.44,11
2023-02-02,2,0.81,13
2023-02-03,2,0.2,10
2023-02-04,2,0.73,11
2023-02-05,2,0.2,9
2023-02-06,2,0.38,14
2023-02-07,2,0.51,12
2023-02-08,2,0.49,14
2023-02-09,2,0.27,12
2023-02-10,2,0.42,5
2023-02-11,2,0.39,10
2023-02-12,2,0.44,16
2023-02-13,2,0.47,18
2023-02-14,2,0.79,15
2023-02-15,2,0.31,15
2023-02-16,2,0.26,16
2023-02-17,2,0.7,14
2023-02-18,2,0.65,14
2023-02-19,2,0.66,13
2023-02-20,2,0.56,11
2023-02-21,2,0.05,12
2023-02-22,2,0.32,16
2023-02-23,2,0.79,11
2023-02-24,2,0.52,15
2023-02-25,2,0.92,10
2023-02-26,2,0.48,14
2023-02-27,2,0.56,13
2023-02-28,2,0.66,17
2023-03-01,2,0.35,11
2023-03-02,2,0.43,8
2023-03-03,2,1.14,18
2023-03-04,2,0.54,12
2023-03-05,2,0.72,14
2023-03-06,2,0.38,8
2023-03-07,2,0.66,10
2023-03-08,2,0.0,14
2023-03-09,2,0.76,6
2023-03-10,2,0.3,11
2023-03-11,2,0.46,14
2023-03-12,2,0.35,12
2023-03-13,2,0.42,14
2023-03-14,2,0.56,11
2023-03-15,2,0.51,17
2023-03-16,2,0.36,8
2023-03-17,2,0.32,7
2023-03-18,2,0.47,18
2023-03-19,2,0.51,15
2023-03-20,2,0.5,11
2023-03-21,2,0.35,14
2023-03-22,2,0.67,16
2023-03-23,2,0.82,16
2023-03-24,2,0.05,8
2023-03-25,2,0.45,8
2023-03-26,2,0.37,14
2023-03-27,2,0.52,12
2023-03-28,2,0.64,12
2023-03-29,2,0.59,7
2023-03-30,2,0.57,8
2023-03-31,2,0.4,14
2023-04-01,2,0.75,13
2023-04-02,2,0.64,14
2023-04-03,2,0.41,15
2023-04-04,2,0.27,13
2023-04-05,2,0.47,11
2023-04-06,2,0.34,12
2023-04-07,2,0.83,12
2023-04-08,2,0.84,11
2023-04-09,2,0.64,21
2023-04-10,2,0.57,8
2023-04-11,2,0.54,17
2023-04-12,2,0.52,15
2023-04-13,2,0.66,17
2023-04-14,2,0.31,8
2023-04-15,2,0.45,13
2023-04-16,2,0.58,11
2023-04-17,2,0.54,14
2023-04-18,2,0.19,14
2023-04-19,2,0.4,14
2023-04-20,2,0.44,9
2023-04-21,2,0.65,11
2023-04-22,2,0.19,9
2023-04-23,2,0.18,15
2023-04-24,2,0.54,9
2023-04-25,2,0.37,13
2023-04-26,2,0.32,13
2023-04-27,2,0.65,15
2023-04-28,2,0.79,18
2023-04-29,2,0.35,12
2023-04-30,2,0.8,19
2023-05-01,2,0.24,18
2023-05-02,2,0.32,11
2023-05-03,2,0.19,10
2023-05-04,2,0.35,10
2023-05-05,2,0.6,16
2023-05-06,2,0.37,14
2023-05-07,2,0.92,12
2023-05-08,2,0.64,8
2023-05-09,2,0.95,12
2023-05-10,2,0.6,14
2023-05-11,2,0.36,14
2023-05-12,2,0.59,13
2023-05-13,2,0.39,15
2023-05-14,2,0.51,8
2023-05-15,2,0.36,13
2023-05-16,2,0.41,9
2023-05-17,2,0.55,11
2023-05-18,2,0.61,13
2023-05-19,2,0.69,13
2023-05-20,2,0.18,12
2023-05-21,2,0.57,10
2023-05-22,2,0.45,10
2023-05-23,2,0.42,10
2023-05-24,2,0.67,4
2023-05-25,2,0.62,19
2023-05-26,2,0.43,15
2023-05-27,2,0.72,16
2023-05-28,2,0.48,11
2023-05-29,2,0.4,9
2023-05-30,2,0.34,16
2023-05-31,2,0.33,13
2023-06-01,2,0.22,12
2023-06-02,2,0.4,11
2023-06-03,2,0.57,8
2023-06-04,2,0.55,42
2023-06-05,2,0.46,37
2023-06-06,2,0.85,24
2023-06-07,2,0.17,15
2023-06-08,2,0.22,31
2023-06-09,2,0.65,14
2023-06-10,2,0.14,17
2023-06-11,2,0.56,13
2023-06-12,2,0.26,34
2023-06-13,2,0.45,44
2023-06-14,2,0.4,28
2023-06-15,2,0.57,7
2023-06-16,2,0.7,31
2023-06-17,2,0.18,26
2023-06-18,2,0.9,11
2023-06-19,2,0.45,30
2023-06-20,2,0.26,18
2023-06-21,2,0.49,12
2023-06-22,2,0.28,18
2023-06-23,2,0.91,16
2023-06-24,2,0.92,8
2023-06-25,2,0.7,13
2023-06-26,2,0.36,20
2023-06-27,2,0.33,8
2023-06-28,2,0.62,38
2023-06-29,2,0.78,37
2023-06-30,2,0.22,41
2023-07-01,2,0.26,40
2023-07-02,2,0.67,14
2023-07-03,2,0.79,34
2023-07-04,2,0.14,13
2023-07-05,2,0.47,15
2023-07-06,2,0.52,35
2023-07-07,2,0.2,14
2023-07-08,2,0.39,16
2023-07-09,2,0.36,41
2023-07-10,2,0.82,7
2023-07-11,2,0.07,12
2023-07-12,2,0.39,28
2023-07-13,2,0.32,47
2023-07-14,2,0.59,33
2023-07-15,2,0.33,14
2023-07-16,2,0.79,24
2023-07-17,2,0.42,32
2023-07-18,2,0.45,37
2023-07-19,2,0.51,15
2023-07-20,2,0.58,13
2023-07-21,2,0.52,15
2023-07-22,2,0.07,10
2023-07-23,2,0.36,12
2023-07-24,2,0.24,28
2023-07-25,2,0.67,29
2023-07-26,2,0.4,12
2023-07-27,2,0.69,7
2023-07-28,2,0.68,7
2023-07-29,2,0.18,8
2023-07-30,2,0.33,15
2023-07-31,2,0.51,28
2023-08-01,2,0.66,28
2023-08-02,2,0.52,17
2023-08-03,2,0.65,14
2023-08-04,2,0.35,34
2023-08-05,2,0.34,28
2023-08-06,2,0.33,34
2023-08-07,2,0.65,13
2023-08-08,2,0.2,29
2023-08-09,2,0.2,30
2023-08-10,2,0.0,31
2023-08-11,2,0.38,11
2023-08-12,2,0.25,32
2023-08-13,2,0.48,12
2023-08-14,2,0.46,33
2023-08-15,2,0.31,31
2023-08-16,2,0.68,33
2023-08-17,2,0.75,16
2023-08-18,2,0.58,13
2023-08-19,2,0.27,29
2023-08-20,2,0.64,12
2023-08-21,2,0.71,9
2023-08-22,2,0.78,9
2023-08-23,2,0.74,8
2023-08-24,2,0.28,13
2023-08-25,2,0.56,17
2023-08-26,2,0.79,10
2023-08-27,2,0.67,16
2023-08-28,2,0.0,20
2023-08-29,2,0.23,39
2023-08-30,2,0.34,36
2023-08-31,2,0.41,20
2023-09-01,2,0.37,37
2023-09-02,2,0.53,7
2023-09-03,2,0.68,27
2023-09-04,2,0.4,18
2023-09-05,2,0.57,34
2023-09-06,2,0.5,36
2023-09-07,2,0.42,36
2023-09-08,2,0.33,9
2023-09-09,2,0.24,30
2023-09-10,2,0.76,27
2023-09-11,2,0.59,39
2023-09-12,2,0.09,6
2023-09-13,2,0.57,33
2023-09-14,2,0.24,36
2023-09-15,2,0.56,14
2023-09-16,2,0.08,11
2023-09-17,2,0.3,30
2023-09-18,2,0.54,11
2023-09-19,2,0.67,10
2023-09-20,2,0.36,8
2023-09-21,2,0.88,28
2023-09-22,2,0.49,9
2023-09-23,2,0.42,26
2023-09-24,2,0.44,28
2023-09-25,2,0.67,9
2023-09-26,2,0.27,9
2023-09-27,2,0.61,17
2023-09-28,2,1.01,10
2023-09-29,2,0.7,12
2023-09-30,2,0.58,41
2023-10-01,2,0.53,13
2023-10-02,2,0.7,11
2023-10-03,2,0.62,18
2023-10-04,2,0.06,11
2023-10-05,2,0.34,15
2023-10-06,2,0.51,10
2023-10-07,2,0.59,13
2023-10-08,2,0.43,21
2023-10-09,2,0.43,8
2023-10-10,2,0.33,6
2023-10-11,2,0.41,15
2023-10-12,2,0.79,10
2023-10-13,2,0.36,10
2023-10-14,2,0.49,9
2023-10-15,2,0.78,13
2023-10-16,2,0.37,12
2023-10-17,2,0.39,12
2023-10-18,2,0.36,16
2023-10-19,2,0.48,7
2023-10-20,2,0.47,16
2023-10-21,2,0.48,12
2023-10-22,2,0.51,11
2023-10-23,2,0.19,15
2023-10-24,2,0.85,11
2023-10-25,2,0.55,15
2023-10-26,2,0.43,17
2023-10-27,2,0.3,6
2023-10-28,2,0.06,11
2023-10-29,2,0.33,12
2023-10-30,2,0.73,15
2023-10-31,2,0.53,15
2023-11-01,2,0.67,7
2023-11-02,2,0.77,15
2023-11-03,2,0.08,11
2023-11-04,2,0.39,7
2023-11-05,2,0.78,14
2023-11-06,2,0.13,13
2023-11-07,2,0.68,9
2023-11-08,2,0.42,15
2023-11-09,2,0.51,16
2023-11-10,2,0.52,13
2023-11-11,2,0.77,16
2023-11-12,2,0.29,10
2023-11-13,2,0.92,13
2023-11-14,2,0.49,17
2023-11-15,2,0.65,9
2023-11-16,2,0.45,11
2023-11-17,2,0.56,12
2023-11-18,2,1.16,14
2023-11-19,2,0.3,14
2023-11-20,2,0.17,10
2023-11-21,2,0.53,15
2023-11-22,2,0.2,20
2023-11-23,2,0.28,8
2023-11-24,2,0.45,6
2023-11-25,2,0.7,10
2023-11-26,2,0.54,12
2023-11-27,2,0.34,14
2023-11-28,2,0.75,16
2023-11-29,2,0.63,13
2023-11-30,2,0.56,12
2023-12-01,2,0.53,13
2023-12-02,2,0.37,11
2023-12-03,2,0.53,13
2023-12-04,2,0.27,10
2023-12-05,2,0.65,17
2023-12-06,2,0.55,10
2023-12-07,2,0.67,14
2023-12-08,2,0.48,5
2023-12-09,2,0.75,12
2023-12-10,2,0.15,16
2023-12-11,2,0.57,13
2023-12-12,2,0.38,15
2023-12-13,2,0.69,13
2023-12-14,2,0.36,6
2023-12-15,2,0.27,14
2023-12-16,2,0.56,19
2023-12-17,2,0.31,15
2023-12-18,2,0.45,12
2023-12-19,2,0.33,13
2023-12-20,2,0.23,15
2023-12-21,2,0.56,8
2023-12-22,2,0.67,11
2023-12-23,2,0.43,12
2023-12-24,2,0.41,11
2023-12-25,2,0.75,11
2023-12-26,2,0.74,13
2023-12-27,2,0.36,7
2023-12-28,2,0.44,20
2023-12-29,2,0.62,17
2023-12-30,2,0.56,8
2023-12-31,2,0.26,6
2023-01-01,3,0.43,16
2023-01-02,3,1.02,16
2023-01-03,3,0.52,25
2023-01-04,3,0.39,17
2023-01-05,3,0.45,20
2023-01-06,3,0.33,19
2023-01-07,3,0.39,23
2023-01-08,3,0.72,12
2023-01-09,3,0.69,16
2023-01-10,3,0.73,17
2023-01-11,3,0.38,20
2023-01-12,3,0.0,15
2023-01-13,3,0.53,17
2023-01-14,3,0.29,21
2023-01-15,3,0.56,19
2023-01-16,3,0.93,19
2023-01-17,3,0.59,21
2023-01-18,3,0.46,20
2023-01-19,3,0.66,14
2023-01-20,3,0.62,16
2023-01-21,3,0.56,18
2023-01-22,3,0.53,17
2023-01-23,3,0.91,15
2023-01-24,3,0.72,24
2023-01-25,3,0.78,15
2023-01-26,3,0.27,27
2023-01-27,3,0.61,16
2023-01-28,3,0.57,12
2023-01-29,3,0.4,20
2023-01-30,3,0.66,19
2023-01-31,3,0.4,17
2023-02-01,3,0.56,22
2023-02-02,3,0.69,17
2023-02-03,3,0.59,15
2023-02-04,3,0.26,12
2023-02-05,3,0.32,13
2023-02-06,3,0.44,13
2023-02-07,3,0.83,18
2023-02-08,3,0.41,15
2023-02-09,3,0.65,20
2023-02-10,3,0.16,21
2023-02-11,3,0.69,15
2023-02-12,3,0.32,18
2023-02-13,3,0.27,13
2023-02-14,3,0.33,21
2023-02-15,3,0.68,17
2023-02-16,3,0.53,11
2023-02-17,3,0.05,12
2023-02-18,3,0.55,14
2023-02-19,3,0.59,25
2023-02-20,3,0.62,15
2023-02-21,3,0.65,15
2023-02-22,3,0.68,16
2023-02-23,3,0.26,13
2023-02-24,3,0.23,18
2023-02-25,3,0.55,20
2023-02-26,3,0.42,21
2023-02-27,3,0.36,19
2023-02-28,3,0.4,21
2023-03-01,3,0.46,20
2023-03-02,3,0.59,15
2023-03-03,3,0.57,14
2023-03-04,3,0.24,15
2023-03-05,3,0.66,22
2023-03-06,3,0.4,13
2023-03-07,3,0.64,20
2023-03-08,3,0.61,14
2023-03-09,3,0.41,19
2023-03-10,3,0.8,11
2023-03-11,3,0.58,22
2023-03-12,3,0.34,17
2023-03-13,3,0.67,29
2023-03-14,3,0.2,23
2023-03-15,3,0.72,17
2023-03-16,3,0.52,22
2023-03-17,3,0.13,13
2023-03-18,3,0.68,24
2023-03-19,3,0.61,27
2023-03-20,3,0.59,26
2023-03-21,3,0.5,12
2023-03-22,3,0.67,20
2023-03-23,3,0.77,16
2023-03-24,3,0.74,26
2023-03-25,3,0.39,11
2023-03-26,3,0.51,18
2023-03-27,3,0.51,14
2023-03-28,3,0.52,15
2023-03-29,3,0.66,19
2023-03-30,3,0.48,18
2023-03-31,3,0.92,10
2023-04-01,3,0.44,10
2023-04-02,3,0.03,19
2023-04-03,3,0.34,13
2023-04-04,3,0.42,17
2023-04-05,3,0.37,17
2023-04-06,3,0.31,24
2023-04-07,3,0.3,8
2023-04-08,3,0.59,20
2023-04-09,3,0.18,20
2023-04-10,3,0.23,24
2023-04-11,3,0.51,18
2023-04-12,3,0.62,16
2023-04-13,3,0.62,22
2023-04-14,3,0.33,14
2023-04-15,3,0.31,14
2023-04-16,3,0.68,20
2023-04-17,3,0.57,10
2023-04-18,3,0.35,18
2023-04-19,3,0.74,17
2023-04-20,3,0.72,21
2023-04-21,3,0.34,13
2023-04-22,3,0.21,15
2023-04-23,3,0.16,20
2023-04-24,3,0.74,17
2023-04-25,3,0.25,19
2023-04-26,3,0.59,11
2023-04-27,3,0.59,14
2023-04-28,3,0.11,12
2023-04-29,3,0.54,18
2023-04-30,3,0.21,15
2023-05-01,3,0.61,17
2023-05-02,3,0.52,21
2023-05-03,3,0.26,15
2023-05-04,3,0.66,12
2023-05-05,3,0.38,12
2023-05-06,3,0.7,10
2023-05-07,3,0.61,14
2023-05-08,3,0.41,13
2023-05-09,3,0.33,17
2023-05-10,3,0.16,24
2023-05-11,3,0.52,19
2023-05-12,3,0.77,13
2023-05-13,3,0.51,16
2023-05-14,3,0.74,20
2023-05-15,3,0.0,16
2023-05-16,3,0.42,19
2023-05-17,3,0.17,25
2023-05-18,3,0.68,15
2023-05-19,3,0.58,13
2023-05-20,3,0.32,16
2023-05-21,3,0.59,17
2023-05-22,3,0.44,18
2023-05-23,3,0.7,13
2023-05-24,3,0.51,24
2023-05-25,3,0.39,24
2023-05-26,3,0.64,18
2023-05-27,3,0.37,18
2023-05-28,3,0.34,23
2023-05-29,3,0.39,20
2023-05-30,3,0.76,16
2023-05-31,3,0.59,13
2023-06-01,3,0.52,14
2023-06-02,3,0.6,10
2023-06-03,3,0.44,14
2023-06-04,3,0.69,29
2023-06-05,3,0.54,46
2023-06-06,3,0.48,41
2023-06-07,3,0.47,24
2023-06-08,3,0.5,35
2023-06-09,3,0.46,24
2023-06-10,3,0.94,16
2023-06-11,3,0.08,14
2023-06-12,3,0.49,36
2023-06-13,3,0.46,43
2023-06-14,3,0.15,49
2023-06-15,3,0.38,9
2023-06-16,3,0.32,36
2023-06-17,3,0.37,39
2023-06-18,3,0.62,17
2023-06-19,3,0.26,33
2023-06-20,3,0.4,14
2023-06-21,3,0.42,18
2023-06-22,3,0.3,17
2023-06-23,3,0.69,12
2023-06-24,3,0.67,15
2023-06-25,3,0.41,17
2023-06-26,3,0.76,34
2023-06-27,3,0.4,22
2023-06-28,3,0.33,35
2023-06-29,3,0.39,42
2023-06-30,3,0.04,47
2023-07-01,3,0.22,37
2023-07-02,3,0.86,22
2023-07-03,3,0.35,44
2023-07-04,3,0.48,18
2023-07-05,3,0.34,23
2023-07-06,3,0.65,46
2023-07-07,3,0.35,14
2023-07-08,3,0.43,20
2023-07-09,3,0.8,26
2023-07-10,3,0.42,12
2023-07-11,3,0.67,21
2023-07-12,3,0.18,40
2023-07-13,3,0.58,45
2023-07-14,3,0.26,24
2023-07-15,3,0.69,19
2023-07-16,3,0.34,44
2023-07-17,3,0.32,30
2023-07-18,3,0.4,47
2023-07-19,3,0.43,18
